time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-30T21:38:14.166Z,57.0247,-153.8063,34.5,2.4,ml,,,,0.73,ak,ak15177809,2017-01-30T21:46:10.688Z,"58km S of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-30T20:53:12.328Z,63.009,-151.6479,12.6,0.9,ml,,,,0.77,ak,ak15177656,2017-01-30T21:52:03.114Z,"109km NW of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-01-30T20:46:37.920Z,39.5653,-107.6343,5,3.3,ml,,48,0.641,0.67,us,us10007wad,2017-01-30T21:43:07.112Z,"2km NE of Silt, Colorado",earthquake,3.3,1.6,0.032,130,reviewed,us,us
2017-01-30T20:19:53.940Z,36.0108337,-120.8791656,12.6,1.46,md,13,95,0.1593,0.04,nc,nc72757970,2017-01-30T20:41:02.428Z,"31km SE of King City, California",earthquake,0.38,1.35,0.17,5,automatic,nc,nc
2017-01-30T20:01:13.600Z,38.8153343,-122.7938309,2.83,1.82,md,31,47,0.007445,0.03,nc,nc72757965,2017-01-30T20:30:02.412Z,"5km NW of The Geysers, California",earthquake,0.2,0.34,0.19,13,automatic,nc,nc
2017-01-30T19:56:08.212Z,61.177,-148.5551,25.4,1.9,ml,,,,1.05,ak,ak15177575,2017-01-30T20:04:04.467Z,"45km N of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-30T19:53:37.350Z,34.3418333,-116.8848333,-1.93,1.1,ml,18,64,0.04787,0.18,ci,ci37575743,2017-01-30T21:46:26.600Z,"10km NNW of Big Bear City, CA",quarry blast,0.43,31.61,0.088,19,reviewed,ci,ci
2017-01-30T19:34:37.607Z,61.4011,-140.2799,0,2,ml,,,,0.77,ak,ak15177545,2017-01-30T19:51:19.173Z,"166km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2017-01-30T19:34:10.560Z,38.8221664,-122.8606644,3.28,0.91,md,9,145,0.006133,0.04,nc,nc72757955,2017-01-30T20:19:02.392Z,"10km WNW of The Geysers, California",earthquake,0.76,0.99,0.07,5,automatic,nc,nc
2017-01-30T19:17:54.385Z,61.8154,-150.8851,75.4,1.9,ml,,,,0.34,ak,ak15177412,2017-01-30T19:33:45.674Z,"45km W of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-30T19:06:50.258Z,64.0608,-147.5021,5.3,1.6,ml,,,,0.62,ak,ak15177410,2017-01-30T19:16:12.953Z,"59km SSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-01-30T18:45:18.982Z,65.1476,-149.0487,10.4,1.2,ml,,,,0.51,ak,ak15177406,2017-01-30T18:58:57.520Z,"59km NW of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-30T18:43:51.161Z,38.4104,-118.9108,7.3,1.3,ml,15,88.98,0.123,0.1663,nn,nn00576217,2017-01-30T19:08:00.532Z,"28km WSW of Hawthorne, Nevada",earthquake,,4,0.33,4,reviewed,nn,nn
2017-01-30T18:00:43.652Z,60.056,-149.2576,8.9,1.9,ml,,,,0.64,ak,ak15177117,2017-01-30T18:10:06.066Z,"11km ESE of Seward, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-30T17:13:48.251Z,38.364,-118.9263,5.8,1.2,ml,11,149.14,0.157,0.1857,nn,nn00576207,2017-01-30T17:32:26.856Z,"29km ENE of Bridgeport, California",earthquake,,3.2,0.19,2,reviewed,nn,nn
2017-01-30T16:56:47.740Z,38.8359985,-122.7741699,1.7,0.39,md,9,120,0.006443,0.01,nc,nc72757945,2017-01-30T17:17:02.993Z,"4km WNW of Cobb, California",earthquake,0.34,0.55,0.08,3,automatic,nc,nc
2017-01-30T16:55:33.760Z,36.7669,-97.7242,5.11,2.8,mb_lg,,42,0.137,0.18,us,us10007w6u,2017-01-30T20:13:49.903Z,"4km S of Medford, Oklahoma",earthquake,1.8,1.8,0.086,35,reviewed,us,us
2017-01-30T16:45:08.610Z,-42.7255,-83.6656,10,4.7,mb,,78,8.215,0.75,us,us10007w6s,2017-01-30T19:26:15.040Z,West Chile Rise,earthquake,6.7,1.9,0.076,52,reviewed,us,us
2017-01-30T16:26:35.320Z,19.3956661,-155.0333405,0.01,1.74,md,22,159,0.03997,0.36,hv,hv61585351,2017-01-30T16:29:42.870Z,"13km SSE of Fern Acres, Hawaii",earthquake,0.9,0.44,0.26,9,automatic,hv,hv
2017-01-30T16:20:55.330Z,10.8049,-86.4049,10,4.7,mb,,172,0.8,0.81,us,us10007w6q,2017-01-30T18:19:32.040Z,"76km SW of San Juan del Sur, Nicaragua",earthquake,4.6,1.5,0.062,79,reviewed,us,us
2017-01-30T15:48:07.500Z,33.224,-116.7285,11.8,0.7,ml,25,77,0.02804,0.11,ci,ci37575679,2017-01-30T19:28:04.131Z,"4km ESE of Lake Henshaw, CA",earthquake,0.2,0.36,0.114,11,reviewed,ci,ci
2017-01-30T15:44:13.900Z,33.3721667,-116.2926667,10.42,0.73,ml,27,141,0.07707,0.17,ci,ci37575671,2017-01-30T19:13:03.245Z,"15km NNE of Borrego Springs, CA",earthquake,0.29,0.68,0.106,10,reviewed,ci,ci
2017-01-30T14:58:28.030Z,31.5216667,-115.6675,6.56,2.6,ml,10,126,0.1636,0.11,ci,ci37575663,2017-01-30T20:31:13.962Z,"88km ESE of Maneadero, B.C., MX",earthquake,0.95,2.56,0.162,38,reviewed,ci,ci
