time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-24T15:10:17.730Z,33.7233315,-116.8406677,13.87,1.03,ml,20,136,0.07818,0.08,ci,ci37572911,2017-01-24T15:12:21.352Z,"6km ESE of Valle Vista, CA",earthquake,0.64,0.89,0.154,11,automatic,ci,ci
2017-01-24T14:40:23.260Z,34.0166667,-116.7893333,18.48,1.15,ml,24,89,0.02397,0.19,ci,ci37572903,2017-01-24T14:44:07.236Z,"11km N of Cabazon, CA",earthquake,0.4,0.8,0.16,29,automatic,ci,ci
2017-01-24T14:32:55.600Z,33.2843333,-116.3258333,3.45,1.87,ml,57,45,0.07818,0.2,ci,ci37572895,2017-01-24T14:56:31.077Z,"6km NE of Borrego Springs, CA",earthquake,0.24,0.9,0.165,26,automatic,ci,ci
2017-01-24T14:21:28.770Z,33.479,-116.4913333,10.01,1.47,ml,45,63,0.07049,0.21,ci,ci37572887,2017-01-24T14:32:27.030Z,"19km ESE of Anza, CA",earthquake,0.23,0.46,0.149,26,automatic,ci,ci
2017-01-24T13:55:27.864Z,59.5754,-153.4445,115.9,2.6,ml,,,,0.9,ak,ak15144785,2017-01-24T14:11:38.663Z,"85km ESE of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-01-24T13:43:59.680Z,48.7610016,-123.0271683,19.06,2.23,md,20,147,0.09705,0.11,uw,uw61230137,2017-01-24T13:58:06.392Z,"25km N of Friday Harbor, Washington",earthquake,0.38,0.65,0.13,13,automatic,uw,uw
2017-01-24T13:22:11.880Z,32.966,-115.9921667,9.28,1.4,ml,25,69,0.08129,0.3,ci,ci37572879,2017-01-24T13:25:35.841Z,"24km SSE of Ocotillo Wells, CA",earthquake,0.52,1.63,0.119,28,automatic,ci,ci
2017-01-24T13:12:08.740Z,40.3995,143.1132,24.16,4.7,mb,,142,1.607,0.68,us,us10007v5j,2017-01-24T14:40:11.040Z,"130km NE of Miyako, Japan",earthquake,9.1,5.8,0.065,72,reviewed,us,us
2017-01-24T13:07:36.404Z,61.6931,-151.5877,94.6,3.7,ml,,,,0.56,ak,ak15143991,2017-01-24T13:56:40.089Z,"82km W of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-24T13:00:57.220Z,38.8460007,-122.8264999,1.31,1.03,md,15,66,0.0102,0.02,nc,nc72755720,2017-01-24T13:15:03.746Z,"9km WNW of Cobb, California",earthquake,0.24,0.58,0.03,4,automatic,nc,nc
2017-01-24T12:39:34.411Z,60.4348,-151.8155,65.8,1.8,ml,,,,0.34,ak,ak15143989,2017-01-24T12:50:35.753Z,"29km W of Kalifornsky, Alaska",earthquake,,2.6,,,automatic,ak,ak
2017-01-24T12:37:10.399Z,63.4795,-147.3132,0.9,2,ml,,,,0.65,ak,ak15143984,2017-01-24T12:59:29.044Z,"82km E of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-01-24T11:59:37.173Z,59.8648,-153.539,128.6,2.1,ml,,,,0.5,ak,ak15143983,2017-01-24T12:08:53.885Z,"78km E of Old Iliamna, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-01-24T11:57:08.510Z,33.461,-116.4836667,10.15,1.12,ml,39,53,0.07887,0.19,ci,ci37572871,2017-01-24T12:07:44.280Z,"20km ESE of Anza, CA",earthquake,0.24,0.43,0.136,26,automatic,ci,ci
2017-01-24T11:11:29.542Z,56.2288,-156.8971,38.8,2.7,ml,,,,0.38,ak,ak15143198,2017-01-24T11:30:16.769Z,"91km WNW of Chirikof Island, Alaska",earthquake,,8.2,,,automatic,ak,ak
2017-01-24T10:19:30.550Z,-0.8525,120.3696,23.64,4.4,mwr,,68,1.993,1.35,us,us10007v56,2017-01-24T13:19:53.697Z,"55km E of Palu, Indonesia",earthquake,6.2,5.7,0.093,11,reviewed,us,us
2017-01-24T10:14:20.550Z,34.475,-116.4745,1.63,1.71,ml,28,72,0.1575,0.17,ci,ci37572855,2017-01-24T10:25:16.840Z,"40km SW of Ludlow, CA",earthquake,0.23,0.68,0.127,27,automatic,ci,ci
2017-01-24T10:02:29.336Z,65.2149,-148.9422,14,1.3,ml,,,,0.43,ak,ak15142404,2017-01-24T10:20:23.508Z,"59km NW of Ester, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-24T09:56:15.350Z,51.6716,-177.9003,10,4.4,mb,,119,0.498,0.93,us,us10007v53,2017-01-24T13:11:17.040Z,"28km SE of Tanaga Volcano, Alaska",earthquake,7,1.8,0.052,106,reviewed,us,us
2017-01-24T09:38:32.920Z,12.0661,146.2653,18.83,5.5,mb,,38,2.036,0.75,us,us10007v50,2017-01-24T11:43:58.719Z,"212km SE of Inarajan Village, Guam",earthquake,8.3,3.8,0.038,244,reviewed,us,us
2017-01-24T08:48:55.970Z,33.6071667,-116.6123333,3.88,0.51,ml,12,67,0.01631,0.19,ci,ci37572847,2017-01-24T08:52:35.314Z,"8km NE of Anza, CA",earthquake,0.5,1.04,0.083,5,automatic,ci,ci
2017-01-24T08:35:57.970Z,36.1033333,-117.5955,1,1.4,ml,15,90,0.09741,0.16,ci,ci37572839,2017-01-24T08:39:26.442Z,"32km ENE of Coso Junction, CA",earthquake,0.27,0.46,0.209,18,automatic,ci,ci
2017-01-24T08:18:47.500Z,19.1088,-67.265,36,3.3,Md,14,230.4,0.65397353,0.64,pr,pr17024004,2017-01-24T12:31:16.377Z,"70km NNW of San Antonio, Puerto Rico",earthquake,3.4,14.8,0,8,reviewed,pr,pr
2017-01-24T08:14:51.640Z,60.6497,-153.0199,175.9,2.6,ml,,,,0.54,ak,ak15142385,2017-01-24T08:24:11.948Z,"23km NW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-01-24T08:14:03.544Z,61.2371,-151.4798,70.6,2.2,ml,,,,0.5,ak,ak15142381,2017-01-24T08:24:11.721Z,"61km N of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-01-24T08:05:08.380Z,33.483,-116.4566667,12.5,0.67,ml,21,107,0.04789,0.15,ci,ci37572831,2017-01-24T15:11:20.820Z,"22km ESE of Anza, CA",earthquake,0.28,0.7,0.029,4,reviewed,ci,ci
2017-01-24T08:01:27.710Z,38.8338318,-122.767334,2.53,0.56,md,7,144,0.003914,0.03,nc,nc72755700,2017-01-24T08:52:03.202Z,"4km WNW of Cobb, California",earthquake,1.61,1.94,,1,automatic,nc,nc
2017-01-24T07:59:45.160Z,38.8388329,-122.8304977,1.99,1.97,md,25,56,0.003904,0.03,nc,nc72755690,2017-01-24T08:40:02.183Z,"9km WNW of Cobb, California",earthquake,0.19,0.33,0.13,11,automatic,nc,nc
2017-01-24T07:59:05.090Z,38.8398323,-122.8306656,2,1.65,md,20,57,0.003965,0.02,nc,nc72755695,2017-01-24T08:27:04.161Z,"9km WNW of Cobb, California",earthquake,0.21,0.4,0.13,8,automatic,nc,nc
2017-01-24T07:56:58.090Z,38.840332,-122.8335037,2.27,1.82,md,23,59,0.00233,0.06,nc,nc72755685,2017-01-24T08:14:02.127Z,"9km WNW of Cobb, California",earthquake,0.28,0.44,0.16,9,automatic,nc,nc
2017-01-24T07:53:56.890Z,33.1703333,-116.5373333,15.31,1.66,ml,58,30,0.09657,0.19,ci,ci37572823,2017-01-24T15:05:50.730Z,"12km NNE of Julian, CA",earthquake,0.18,0.38,0.147,54,reviewed,ci,ci
